City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Srednekolymsk,RU,2021-05-27 02:54:39,67.45,153.6833,65.59,29,70,15.88
156,Newberg,US,2021-05-27 02:53:34,45.3001,-122.9732,67.37,56,100,3.74
157,Copiapo,CL,2021-05-27 02:54:40,-27.3667,-70.3333,49.69,24,56,2.86
158,Prince Rupert,CA,2021-05-27 02:54:40,54.3161,-130.3201,50.09,90,90,4.61
159,Svetlogorsk,BY,2021-05-27 02:54:40,52.6333,29.7333,50.79,93,4,5.28
160,Kavieng,PG,2021-05-27 02:54:41,-2.5744,150.7967,81.0,83,100,12.39
161,Kruisfontein,ZA,2021-05-27 02:54:41,-34.0033,24.7314,53.17,80,92,6.67
162,Solnechnyy,RU,2021-05-27 02:54:42,50.7214,136.6319,47.41,70,100,3.06
163,Dunedin,NZ,2021-05-27 02:54:42,-45.8742,170.5036,49.8,48,100,3.0
164,Brae,GB,2021-05-27 02:54:42,60.3964,-1.353,48.11,84,100,13.98
165,Hanyang,CN,2021-05-27 02:54:43,32.1371,105.5126,71.62,65,100,4.25
166,Necochea,AR,2021-05-27 02:54:44,-38.5473,-58.7368,51.57,76,68,9.57
167,Hithadhoo,MV,2021-05-27 02:54:44,-0.6,73.0833,83.93,69,84,19.24
168,Tambopata,PE,2021-05-27 02:54:44,-12.7333,-69.1833,71.17,83,91,0.72
169,Ribeira Grande,PT,2021-05-27 02:54:45,38.5167,-28.7,59.41,69,95,14.83
170,Batemans Bay,AU,2021-05-27 02:54:45,-35.7167,150.1833,65.1,38,1,4.59
171,Visby,SE,2021-05-27 02:54:46,57.6409,18.296,49.86,100,75,10.36
172,Nedjo,ET,2021-05-27 02:54:46,9.5046,35.5019,62.1,74,89,2.73
173,Isangel,VU,2021-05-27 02:54:47,-19.55,169.2667,77.11,73,40,5.08
174,Cidreira,BR,2021-05-27 02:54:47,-30.1811,-50.2056,56.82,72,100,4.63
175,Port Macquarie,AU,2021-05-27 02:53:21,-31.4333,152.9167,67.89,52,22,10.54
176,Kalevala,RU,2021-05-27 02:54:48,65.2,31.1667,34.59,76,100,9.44
177,Pontianak,ID,2021-05-27 02:54:48,-0.0333,109.3333,87.78,74,40,2.62
178,High Level,CA,2021-05-27 02:54:49,58.5169,-117.136,57.31,54,90,4.45
179,Formia,IT,2021-05-27 02:54:49,41.2563,13.6058,61.47,90,57,2.75
